00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 4~6 250~Курск "Батарейка" 50летОктября
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 15~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Алексеевка "Батарейка"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов магазин в Автолинии на Мичуринской
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов "Батарейка" Пролетарская 2 "з"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 15~6 250~Белгород "Батарейка"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 4~6 250~Богородицк "Батарейка"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 14~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Воронеж "Батарейка" Каменка
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Воронеж "Батарейка" Дорожная
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Воронеж "Батарейка" Антонова-Овсеенко
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 4~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Курск "Аккумуляторный Мир" Сумская
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Курск "Батарейка" Новосёловка
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 11~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 4~6 250~Мичуринск "Аккумуляторный Мир"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 5~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Брянск "Батарейка" Костычева
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 10~6 250~Курск "Батарейка" Дериглазова
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 6~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 5~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Брянск "Батарейка" Красный Маяк
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Брянск "Батарейка" Нахимова
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 14~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Смоленск "Батарейка" маршала Ерёменко
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов "Батарейка" Мичуринская
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тула "Батарейка"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Калуга "Батарейка"
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 18~6 250~Тамбов "Батарейка" Гастелло (Авторынок)
00000000580~АКБ 6СТ-60 "BARS"~Bars~60-69 (прямой)~60~530~242/175/190~Конус  стандарт~14,6~12~прямая~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 259~6 250~Курск "Батарейка" Стрела
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 259~6 250~Курск "Батарейка" Моковская
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~Курск "Батарейка" 50летОктября
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Алексеевка "Батарейка"
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов магазин в Автолинии на Мичуринской
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов "Батарейка" Пролетарская 2 "з"
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 7~6 250~Белгород "Батарейка"
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 11~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Курск "Аккумуляторный Мир" Сумская
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Курск "Батарейка" Новосёловка
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 7~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~Мичуринск "Аккумуляторный Мир"
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 5~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 3~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Брянск "Батарейка" Костычева
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 11~6 250~Курск "Батарейка" Дериглазова
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 5~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Брянск "Батарейка" Нахимова
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 13~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 4~6 250~Смоленск Батарейка Ново-Московская 23
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~Смоленск "Батарейка" маршала Ерёменко
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 2~6 250~Тамбов "Батарейка" Мичуринская
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 12~6 250~Тамбов "Батарейка" Гастелло (Авторынок)
00000000582~АКБ 6СТ-60 "BARS" (обр.)~Bars~60-69 (обратный)~60~530~242/175/190~Конус  стандарт~14,6~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 1~6 250~
00000003134~АКБ 6СТ-60 "BARS" (обр.) (низкий)~Bars~60-69 (обратный)~60~530~242/175/175~Конус  стандарт~14,2~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 95~6 250~Курск "Батарейка" Стрела
00000003134~АКБ 6СТ-60 "BARS" (обр.) (низкий)~Bars~60-69 (обратный)~60~530~242/175/175~Конус  стандарт~14,2~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 95~6 250~Курск "Батарейка" Моковская
00000003134~АКБ 6СТ-60 "BARS" (обр.) (низкий)~Bars~60-69 (обратный)~60~530~242/175/175~Конус  стандарт~14,2~12~обратная~ОАО "КАЙНАР" (Казахстан, г. Талдыкорган)~~Вналичии 6~6 250~
